SampleNo,SampleID,Values,Diversity ,Microcosms,Replicate,Color,log
1,S37,1078.5,Observed richness,Control,Control-1,deepskyblue3,3.032820149
2,S38,1109.5,Observed richness,Control,Control-2,deepskyblue3,3.045127307
3,S39,1046.5,Observed richness,Control,Control-3,deepskyblue3,3.019739233
4,S40,864.5,Observed richness,Control,Control-4,deepskyblue3,2.936764998
5,S41,758,Observed richness,Control,Control-5,deepskyblue3,2.879669206
6,S42,1129.5,Observed richness,100D,100D-2,tan4,3.052886235
7,S43,725.5,Observed richness,100D,100D-3,tan4,2.860637417
8,S44,1045,Observed richness,100D,100D-4,tan4,3.01911629
9,S45,625,Observed richness,100D,100D-5,tan4,2.795880017
10,S46,635,Observed richness,80D_20C,80D_20C-1,orange1,2.802773725
11,S47,831.5,Observed richness,80D_20C,80D_20C-2,orange1,2.919862254
12,S48,779,Observed richness,80D_20C,80D_20C-3,orange1,2.891537458
13,S49,783,Observed richness,80D_20C,80D_20C-4,orange1,2.893761762
14,S50,878.5,Observed richness,80D_20C,80D_20C-5,orange1,2.943741766
15,S51,914,Observed richness,50D_50C,50D_50C-1,gold1,2.960946196
16,S52,847,Observed richness,50D_50C,50D_50C-2,gold1,2.92788341
17,S53,1018.5,Observed richness,50D_50C,50D_50C-3,gold1,3.007961033
18,S54,938.5,Observed richness,50D_50C,50D_50C-4,gold1,2.972434277
19,S55,862.5,Observed richness,50D_50C,50D_50C-5,gold1,2.935759104
20,S56,836,Observed richness,20D_80C,20D_80C-1,olivedrab2,2.922206277
21,S57,890,Observed richness,20D_80C,20D_80C-2,olivedrab2,2.949390007
22,S58,1034,Observed richness,20D_80C,20D_80C-3,olivedrab2,3.014520539
23,S59,776.5,Observed richness,20D_80C,20D_80C-4,olivedrab2,2.89014146
24,S60,937,Observed richness,20D_80C,20D_80C-5,olivedrab2,2.971739591
25,S61,744.5,Observed richness,100C,100C-1,darkgreen,2.871864702
26,S62,942.5,Observed richness,100C,100C-2,darkgreen,2.974281359
27,S63,1001,Observed richness,100C,100C-3,darkgreen,3.000434077
28,S64,945,Observed richness,100C,100C-4,darkgreen,2.975431809
29,S65,734,Observed richness,100C,100C-5,darkgreen,2.86569606
59,S37,0.691730404,Evenness,Control,Control-1,deepskyblue3,-0.160063135
60,S38,0.700749008,Evenness,Control,Control-2,deepskyblue3,-0.154437508
61,S39,0.588517952,Evenness,Control,Control-3,deepskyblue3,-0.230240285
62,S40,0.706526923,Evenness,Control,Control-4,deepskyblue3,-0.150871284
63,S41,0.612541177,Evenness,Control,Control-5,deepskyblue3,-0.212864711
64,S42,0.767778367,Evenness,100D,100D-2,tan4,-0.114764129
65,S43,0.646407885,Evenness,100D,100D-3,tan4,-0.189493355
66,S44,0.735049477,Evenness,100D,100D-4,tan4,-0.133683427
67,S45,0.605682991,Evenness,100D,100D-5,tan4,-0.217754622
68,S46,0.626985224,Evenness,80D_20C,80D_20C-1,orange1,-0.202742694
69,S47,0.657527253,Evenness,80D_20C,80D_20C-2,orange1,-0.182086242
70,S48,0.728604796,Evenness,80D_20C,80D_20C-3,orange1,-0.137507974
71,S49,0.71406175,Evenness,80D_20C,80D_20C-4,orange1,-0.14626423
72,S50,0.716275135,Evenness,80D_20C,80D_20C-5,orange1,-0.144920125
73,S51,0.612103172,Evenness,50D_50C,50D_50C-1,gold1,-0.21317537
74,S52,0.69358888,Evenness,50D_50C,50D_50C-2,gold1,-0.158897878
75,S53,0.676479329,Evenness,50D_50C,50D_50C-3,gold1,-0.16974547
76,S54,0.804598511,Evenness,50D_50C,50D_50C-4,gold1,-0.094420776
77,S55,0.646170792,Evenness,50D_50C,50D_50C-5,gold1,-0.189652677
78,S56,0.510730008,Evenness,20D_80C,20D_80C-1,olivedrab2,-0.291808624
79,S57,0.688538485,Evenness,20D_80C,20D_80C-2,olivedrab2,-0.16207178
80,S58,0.759507082,Evenness,20D_80C,20D_80C-3,olivedrab2,-0.119468172
81,S59,0.684385727,Evenness,20D_80C,20D_80C-4,olivedrab2,-0.164699057
82,S60,0.648143357,Evenness,20D_80C,20D_80C-5,olivedrab2,-0.188328926
83,S61,0.674006414,Evenness,100C,100C-1,darkgreen,-0.17133597
84,S62,0.796653327,Evenness,100C,100C-2,darkgreen,-0.098730626
85,S63,0.694132591,Evenness,100C,100C-3,darkgreen,-0.158557564
86,S64,0.775076991,Evenness,100C,100C-4,darkgreen,-0.110655156
87,S65,0.622844699,Evenness,100C,100C-5,darkgreen,-0.205620227