Number,Sample,Value,Time,Treatment,log
1,CTR-1,2.60E+04,Day7,Control,4.415140085
2,CTR-2,3.52E+04,Day7,Control,4.546985714
3,CTR-3,3.87E+04,Day7,Control,4.587573361
4,CTR-4,3.68E+04,Day7,Control,4.565951329
5,CTR-5,5.30E+04,Day7,Control,4.72437609
6,100D-1,2.90E+04,Day7,100D,4.462358041
7,100D-2,4.00E+04,Day7,100D,4.602023987
8,100D-3,2.53E+04,Day7,100D,4.402804899
9,100D-4,4.95E+04,Day7,100D,4.694857385
10,100D-5,5.21E+04,Day7,100D,4.716522449
11,80D/20C-1,1.56E+05,Day7,80D_20C,5.192762246
12,80D/20C-2,7.09E+05,Day7,80D_20C,5.850351329
13,80D/20C-3,5.79E+05,Day7,80D_20C,5.762454257
14,80D/20C-4,3.61E+05,Day7,80D_20C,5.557817459
15,80D/20C-5,2.91E+05,Day7,80D_20C,5.463447548
16,50/50-1,3.68E+05,Day7,50D_50C,5.565402977
17,50/50-2,2.66E+05,Day7,50D_50C,5.425037772
18,50/50-3,2.91E+05,Day7,50D_50C,5.463195152
19,50/50-4,2.28E+05,Day7,50D_50C,5.358254621
20,50/50-5,2.30E+05,Day7,50D_50C,5.362652578
21,20D/80C-1,3.16E+05,Day7,20D_80C,5.499823699
22,20D/80C-2,1.78E+05,Day7,20D_80C,5.251488866
23,20D/80C-3,1.89E+05,Day7,20D_80C,5.276497962
24,20D/80C-4,6.34E+05,Day7,20D_80C,5.801968998
25,20D/80C-5,5.69E+05,Day7,20D_80C,5.754773794
26,100C-1,5.20E+05,Day7,100C,5.716002605
27,100C-2,3.98E+05,Day7,100C,5.599898327
28,100C-3,5.28E+05,Day7,100C,5.722295633
29,100C-4,4.27E+05,Day7,100C,5.630825706
30,100C-5,7.54E+05,Day7,100C,5.877246251
31,CTR-1,3.63E+05,Day24,Control,5.559906625
32,CTR-2,3.47E+05,Day24,Control,5.540329475
33,CTR-3,7.39E+05,Day24,Control,5.868644438
34,CTR-4,7.72E+05,Day24,Control,5.8876173
35,CTR-5,1.39E+06,Day24,Control,6.1430148
36,100D-1,1.31E+06,Day24,100D,6.117271296
37,100D-2,1.73E+06,Day24,100D,6.238046103
38,100D-3,1.84E+06,Day24,100D,6.264817823
39,100D-4,2.24E+06,Day24,100D,6.350248018
40,100D-5,2.37E+06,Day24,100D,6.374748346
41,80D/20C-1,1.07E+06,Day24,80D_20C,6.029383778
42,80D/20C-2,1.25E+06,Day24,80D_20C,6.096910013
43,80D/20C-3,1.18E+06,Day24,80D_20C,6.071882007
44,80D/20C-4,1.14E+06,Day24,80D_20C,6.056904851
45,80D/20C-5,9.63E+05,Day24,80D_20C,5.983626287
46,50/50-1,1.01E+06,Day24,50D_50C,6.004321374
47,50/50-2,9.26E+05,Day24,50D_50C,5.966610987
48,50/50-3,1.03E+06,Day24,50D_50C,6.012837225
49,50/50-4,1.97E+06,Day24,50D_50C,6.294466226
50,50/50-5,2.18E+06,Day24,50D_50C,6.338456494
51,20D/80C-1,1.06E+06,Day24,20D_80C,6.025305865
52,20D/80C-2,1.18E+06,Day24,20D_80C,6.071882007
53,20D/80C-3,1.03E+06,Day24,20D_80C,6.012837225
54,20D/80C-4,9.83E+05,Day24,20D_80C,5.992553518
55,20D/80C-5,1.57E+06,Day24,20D_80C,6.195899652
56,100C-1,1.46E+06,Day24,100C,6.164352856
57,100C-2,8.78E+05,Day24,100C,5.943494516
58,100C-3,8.09E+05,Day24,100C,5.907948522
59,100C-4,1.52E+06,Day24,100C,6.181843588
60,100C-5,1.69E+06,Day24,100C,6.227886705